"batter","totalBatterStrikeoutRate","totalBatterWalkRate","totalBatterwOBA","bats","BsRperGame","DefperGame"
623515,0.224238939248601,0.104726973916813,0.367715636806557,"R",0,0
621006,0.269100967873036,0.101937452954889,0.366028539027801,"R",0,0
664238,0.272839091070411,0.100424989397785,0.379130715970076,"R",0,0
665487,0.252383295454545,0.0993033621288151,0.396774097826748,"R",0,0
624413,0.258970138721136,0.110113421668875,0.44201207483673,"R",0,0
656577,0.225197896713615,0.098235762659571,0.356692842454724,"R",0,0
641829,0.227258593537792,0.0975011202016182,0.382201739460564,"L",0,0
643524,0.213177120267261,0.0953024187227445,0.351123528378459,"R",0,0
669738,0.224998902068127,0.104062211426473,0.37024506686281,"R",0,0
656582,0.232366124242424,0.0962952321925063,0.361163137455385,"R",0,0
658069,0.253165695402299,0.0907194846633759,0.357601650713231,"R",0,0
572008,0.2698394542699,0.0796614210826373,0.344197725786858,"R",0.00307196562835661,0.0088430012956698
571976,0.277177145314004,0.0896144398336664,0.450436951774122,"R",0.0194285543142951,0.00488106899823975
545358,0.299908289983073,0.104346028231802,0.369466513814043,"R",-0.00929243850592165,0.122297678503672
542513,0.235489613955026,0.104325078207761,0.349934646264082,"S",0,0
542340,0.213520632143981,0.0944169914376181,0.365468670401486,"S",0.0154761904761905,0.00589201030081571
545361,0.165327728155868,0.165348923411701,0.510461523907399,"R",0.0214221014492754,0.02204991211164
545338,0.213461538461538,0.102036805194805,0.365225917243902,"S",0,0.000449101796407197
571740,0.218785668164087,0.0837234358382319,0.298043188022381,"S",0.0320535194880745,0.0124460044377128
571466,0.169662163020579,0.120233505607199,0.33700958388505,"S",-0.0174515235457064,-0.0721663202121785
578428,0.133212332465816,0.0480339166111624,0.308542707440662,"R",0.00362301101591187,0.0255278212173595
545341,0.269340806097399,0.0906354290536497,0.408194714715635,"R",-0.00175233644859813,0.000993124090552765
474832,0.233195862324572,0.112461845308298,0.414863561383799,"L",0.0158108038783153,0.0201188315485991
516472,0.242586429469863,0.0578707243432438,0.358145866098167,"L",0,-0.0598101265822785
542454,0.258565224304827,0.0925052282782259,0.384972624000384,"S",0,0.00700695829886622
542364,0.176041598374507,0.0959188793521286,0.326670276027228,"L",-0.0159419678630172,0.00199106234237423
542303,0.208947780053951,0.0776385435304343,0.43730939817164,"R",0.0195169167143297,0.00640219602624217
571697,0.202083961948985,0.0750666099710527,0.387775792414924,"L",0.000407571777918667,0.00588785046728972
547912,0.298986407692308,0.091282136834309,0.376609503571429,"R",0,-0.00262773722627737
571974,0.312198937508519,0.0840181866874088,0.385071460835797,"R",0.00659642693540999,0.0937681868863721
570267,0.271917785928366,0.110660071358309,0.447942400494781,"R",0.00310751104565537,-0.00128953700282459
588751,0.185213885512502,0.0558140264208505,0.334541981718706,"R",0.0027023780927216,0.00561035532250376
571771,0.177297771167527,0.118303585130212,0.380518476780637,"R",0.0151595744680851,0.00680831191782024
596144,0.211143638643517,0.0961520809934697,0.329332026822452,"R",-0.00994475138121547,-0.00041318519878799
502570,0.235674181253545,0.0978854359905776,0.365109204346858,"R",0,0
518618,0.234827269613205,0.075614418170362,0.391886687595915,"L",-0.00118916538207443,-0.0245297018345238
